項目,日期,完成日期,狀態,說明,備註,支援人員,支援類別,對象,經銷商,聯絡人,展碁人員,部門,CSA 類別,Solution Play,產品,一般分類,費用,虛擬金額,申請 Incentive,微軟協助人員
花仙子 - github copilot 說明,2025/12/23 上午 09:00,2025/12/23 上午 10:00,完成,github copilot關聯azure billing與邀請人員說明,關聯azure billing與邀請人員說明,Nick,技術支援,,,,,,AIBS,,,Github Copilot,,"6,000",,
花仙子 - github copilot 購買授權說明,2026/1/5 上午 11:00,2026/1/5 上午 11:45,完成,說明github copilot授權指派與移除,說明github copilot授權指派與移除,Nick,技術支援,,,,,,AIBS,,,Github Copilot,,"6,000",,
產品自動化問答系統建立專案-正式導入,2025/12/25 上午 09:00,2025/12/25 下午 05:00,完成,"完成POC測試, 進行正式環境導入

完成項目
Azure 服務啟用
copilot studio 環境設定
power automate 自動化流程設定","完成機器人設定與自動化流程設定
並完成client測試
",Nick,Weblink Solution Offering,,,,,,AIBS,,,Copilot Studio,,,,
產品自動化問答系統建立專案-正式導入,2025/12/29 上午 09:00,2025/12/29 下午 05:00,完成,處理app service程式佈署問題,"POC的azure app service 與 正式環境的 app service版本不同, 導致服務無法啟動, 需改寫啟動命令",Nick,Weblink Solution Offering,,,,,,AIBS,,,Azure,,,,
產品自動化問答系統建立專案-正式導入,2025/12/30 上午 09:00,2025/12/30 下午 05:00,完成,"已排除程式佈署問題, 服務正式啟用, 發佈TEAMS 機器人","服務正式啟用, 發佈TEAMS 機器人至公司環境",Nick,Weblink Solution Offering,,,,,,AIBS,,,Copilot Studio,,,,
SC-200：安全運營分析師認證課程,2025/9/15 上午 12:00,2025/9/19 下午 04:00,完成,"Microsoft 針對 SC-200 認證考試的教學課程：
針對威脅偵測與回應專業人員，重點培養使用Microsoft安全技術堆疊（Defender系列、Sentinel SIEM）進行安全監控、事件調查與自動化回應的能力。課程涵蓋攻擊指標（IOC）分析、威脅追蹤（Hunting）、多源日誌關聯（KQL查詢）及SOAR劇本開發，幫助學員掌握從雲端到端的安全事件處置全流程，符合現代SOC崗位需求並通過認證。",,Aaron,受訓,,,,,,Security,,,Security,,,,
取得 SC-200 Microsoft 認證：安全營運分析員助理 (Microsoft Certified: Security Operations Analyst Associate) 認證,2026/1/15 上午 03:30,2026/1/15 下午 05:30,完成,取得 SC-200 Microsoft 認證：安全營運分析員助理 (Microsoft Certified: Security Operations Analyst Associate) 認證,,Aaron,Certification,,,,,,Security,,,Security,"10,000",,,
GWS to M365搬遷討論,2026/1/26 上午 11:00,2026/1/26 下午 12:00,完成,孔孟x安然 GWS to M365搬遷討論,針對 Google Drive、Google Chat 等搬遷細節詢問,Aaron,,customer,,,,,,,,M365,,,,
Microsoft 365 商務進階版導入會議,2026/1/30 下午 02:00,2026/1/30 下午 02:30,完成,伸昌電機購買 Microsoft 365 商務進階版後，指導並說明 Defender for Office 365 如何套用與設定 ＋ Defender for Business 如何導入,,Aaron,技術支援,customer,逸凡,,,,Security,,,Security,"1,500",,,
Microsoft 365 管理討論,2026/2/6 下午 05:30,2026/2/6 下午 06:00,完成,Microsoft 365 多網域設定與使用者帳號別名建置說明，說明使用者可用同一個帳號但建立多個別名來收發郵件設定方式,,Aaron,技術支援,經銷商,偉盟,,,,,,,M365,300,,,
M365 說明資安設定優化建議,2026/2/11 下午 04:00,2026/2/11 下午 05:29,完成,"客戶寶島陽光詢問，Microsoft 365 的資安建議
介紹 Microsoft 365 中的 DLP 功能，分別說明 Cloud DLP 和 Endpoint DLP 的差異跟授權，以及 Microsoft Defeder for Business 的功能＋Microsoft Information Protection 的功能",,Aaron,技術支援,customer,,,,,Security,,,Security,"1,500",,,
安心食品Azure搬遷討論,2026/1/16 下午 03:00,2026/1/16 下午 05:00,完成,安心食品從EA搬遷到CSP，確認權限部分,,Lucas,技術支援,customer,,,,,CAIP,,,Azure,,"1,000",,
展碁線上azure webnar,2026/1/21 下午 02:00,2026/1/21 下午 02:30,完成,介紹azure近期更新的線上活動,,Lucas,Webinar,customer,,,,,CAIP,,,Azure,,"20,000",,
azure 線上訓練營,2026/1/21 下午 02:00,2026/1/21 下午 05:00,完成,線上訓練營,,Lucas,受訓,,,,,,CAIP,,,Azure,,,,
線上訓練營,2026/1/22 下午 02:00,2026/1/22 下午 05:00,完成,線上訓練營,,Lucas,受訓,,,,,,CAIP,,,Azure,,,,
azure線上訓練營,2026/1/23 下午 02:00,2026/1/23 下午 05:00,完成,線上訓練營,,Lucas,受訓,,,,,,CAIP,,,Azure,,,,
考取MS102-Microsoft 365 系統管理員認證,2026/1/27 下午 02:00,2026/1/27 下午 04:00,完成,考取MS102-Microsoft 365 系統管理員認證,,Lucas,Certification,,,,,,CAIP,,,Azure,,,,
酷博樂 github copilot說明,2026/1/12 下午 05:00,2026/1/12 下午 05:30,完成,github copilot說明,,Nick,技術支援,customer,,,,,AIBS,,,Github Copilot,,"6,000",,
Azure 線上訓練營,2026/1/21 下午 02:00,2026/1/21 下午 05:00,完成,Azure 線上訓練營,,Nick,受訓,,,,,,AIBS,,,Azure,,,,
Azure 線上訓練營,2026/1/22 下午 02:00,2026/1/22 下午 05:00,完成,Azure 線上訓練營,,Nick,受訓,,,,,,AIBS,,,Azure,,,,
Azure 線上訓練營,2026/1/23 下午 02:00,2026/1/23 下午 05:00,完成,Azure 線上訓練營,,Nick,受訓,,,,,,AIBS,,,Azure,,,,
鑫捷 github copilot 說明,2026/2/2 上午 10:00,2026/2/2 上午 10:30,完成,github copilot 說明 與 管理者教學,,Nick,技術支援,customer,,,,,AIBS,,,Github Copilot,,"6,000",,
雲端知識課程,2026/2/9 下午 02:00,2026/2/9 下午 02:30,完成,雲知識補給：Copilot Studio,,Nick,Webinar,customer,,,,,AIBS,,,Copilot Studio,,,,
網際威信 github copilot 說明,2026/2/25 下午 02:00,2026/2/25 下午 02:30,完成,github copilot 管理者說明,,Nick,技術支援,,,,,,AIBS,,,Github Copilot,,"6,000",,
azure surestep Q3線上課,2026/2/12 下午 12:00,2026/2/12 下午 01:00,完成,azure surestep Q3線上課,,Lucas,受訓,,,,,,CAIP,,,Azure,,,,
微軟 AI discovery Card,2026/3/11 下午 01:00,2026/3/11 下午 05:00,完成,微軟 AI discovery Card實體活動,,Lucas,受訓,,,,,,CAIP,,,Azure,,,,
工研院 github copilot 說明,2026/3/2 下午 03:00,2026/3/2 下午 03:30,完成,github copilot 管理者說明,,Nick,技術支援,customer,,,,,AIBS,,,Github Copilot,,"6,000",,
穎哲資訊 github copilot 說明,2026/3/3 上午 10:30,2026/3/3 上午 11:00,完成,github copilot 綁定 azure教學,,Nick,技術支援,customer,,,,,AIBS,,,Github Copilot,,"6,000",,
三澧_Azure訂閱轉移,2026/3/13 上午 11:00,2026/3/13 下午 12:00,完成,三澧_Azure訂閱轉移，從信用卡移轉到CSP,,Lucas,技術支援,customer,,,,,CAIP,,,Azure,,"20,000",,
天心資訊 azure建置,2026/3/13 下午 02:00,2026/3/13 下午 03:00,完成,天心資訊CSP azure 建置,,Lucas,技術支援,經銷商,,,,,CAIP,,,Azure,,"12,000",,
網創勞保局Azure介紹,2026/3/5 上午 09:00,2026/3/5 上午 10:00,進行中,網創勞保局azure介紹,還需要溝通內容範圍及時間,Lucas,Training,customer,,,,,CAIP,,,Azure,,,,
精品科技  金振顥國 azure建置,2026/3/16 下午 02:00,2026/3/16 下午 03:00,完成,精品科技  金振顥國csp azure建置,,Lucas,技術支援,經銷商,,,,,CAIP,,,Azure,,"20,000",,
微軟實體課使用 Microsoft Fabric 進行 AI 支援的分析,2026/3/18 上午 09:00,2026/3/19 下午 06:00,完成,微軟實體課使用 Microsoft Fabric 進行 AI 支援的分析,,Lucas,受訓,,,,,,CAIP,,,Azure,,,,
微軟試題庫App Modernization Partner TTT,2026/3/20 下午 01:00,2026/3/20 下午 06:00,完成,微軟App Modernization Partner TTT實體課,,Lucas,受訓,,,,,,CAIP,,,Azure,,,,
坤侑科技 365 零信任介紹,2026/2/12 上午 10:00,2026/2/12 上午 11:00,完成,"微軟零信任資安解決方案總覽: 
介紹微軟針對零信任架構的多項資安解決方案，並說明各產品如Defender for Office 365、Defender for Endpoint、Defender for Identity、Defender for Cloud Apps、Purview Information Protection及DLP的功能與應用
外部威脅防護: Defender for Office 365針對郵件攻擊（如釣魚郵件、未知型攻擊）提供即時掃描與防護，並舉例近期客戶遭遇Gmail/Outlook.com假冒老闆詐騙事件，強調微軟方案能有效阻擋此類威脅。
裝置端點防護: Defender for Endpoint（EDR）可針對裝置進行回報與弱點評分，並要求Windows Defender必須開啟，否則無法發揮完整防護效能，並可集中管理所有裝置的安全狀態。
身分與AD防護: Defender for Identity可針對內部AD帳號進行監控與分析，集中所有log於Defender管理中心，協助偵測異常行為與內部攻擊，並可追蹤帳號行為與受感染電腦。
雲端應用與資料保護: Defender for Cloud Apps可偵測OneDrive等雲端大量異常操作（如大量刪除/下載），並可阻擋不合理存取，Purview Information Protection與DLP則針對檔案標籤與資料外洩防護，區分雲端與端點DLP，並說明MIP標籤權限控管與傳統加密的差異。
身分驗證與單一登入（SSO）整合: 討論現有AD帳號同步雲端、微軟Entra ID支援SSO、二階段驗證（MFA）及條件式存取，並說明現有授權下可用功能及進階版差異。
AD同步與SSO支援: 確認客戶現有AD帳號已同步雲端，說明微軟Entra ID可支援單一登入（SSO），但需系統本身支援串接，並可與自開發或第三方系統整合。
MFA與條件式存取: 商務標準版已有基本MFA，進階版則可設定條件式存取（如依IP、地點、裝置合規性等），並可針對不同使用者或應用程式細緻設定存取規則。
授權差異與升級建議: 進階版授權可啟用更多條件式存取、裝置管理（Intune）、Defender for Endpoint等功能，並建議如需完整零信任落地，應升級至商務進階版並視需求加購Defender Suite或Purview Suite。
裝置註冊與管理: Windows裝置可直接在系統設定加入組織，Android需安裝入口網站App，Mac則需透過Apple Business Manager（ABM）及MDM Push Certificate進行註冊，所有裝置註冊後可納入Intune管理。
合規性原則設定: 介紹可於Intune設定合規性原則，如作業系統版本、防毒、防火牆、TPM等，並可標記合規裝置，條件式存取可限制僅合規裝置存取公司資源。
USB與外部裝置控管: Defender for Endpoint可管控USB存取，Intune可設定攻擊面縮減（ASR）政策，並可針對硬體識別碼設定白名單，Mac亦可控管USB但細緻度略低於Windows。
授權方案比較與升級建議: 
根據客戶現有商務標準版授權，詳細比較標準版、進階版及加購Defender Suite/Purview Suite的功能差異，並建議升級路徑與組合，協助客戶規劃零信任落地所需授權。",,Aaron,技術支援,customer,,,,,Security,,,Security,,"3,000",,
若谷資訊_M365線上會議,2026/2/25 下午 02:00,2026/2/25 下午 03:00,完成,"客戶需要分割租用戶，把部分使用者遷移至新的租用戶中，討論實行作法
提供原廠相關文件
以及排除客戶由於缺少 Exchange Scheme 無法進行 Exchange Online 相關設定，提供相關文件，新增 Exchange Scheme",,Aaron,技術支援,,,,,,,,,M365,,"1,500",,
易境永續 365 Copilot,2026/2/26 下午 02:00,2026/2/26 下午 02:30,完成,"M365 Copilot功能與應用介紹: 
介紹M365 Copilot的主要功能，包括資料整合、簡報製作、文書處理、會議記錄與AI助理的應用，並說明其在顧問業日常作業中的協助方式。
資料整合與授權機制:M365 Copilot能整合OneDrive、Email、Teams等微軟生態系資料，並根據授權不同提供額外功能，如代理程式engine與workflow，只有擁有Copilot 365授權的用戶才能使用進階整合功能。
簡報製作流程與AI協助: 展示如何利用Copilot將文字檔案或大綱快速轉換為PowerPoint簡報，並強調AI可根據指定檔案或段落自動產生大綱與投影片，節省大量人工編輯時間，但仍需人工調整內容以符合公司需求。
會議記錄與AI摘要功能: 介紹Teams會議搭配Copilot可自動產生會議摘要、逐字稿與重點回顧，並能追蹤後續行動項目，協助會議記錄與資訊整理，提升會議效率。
資安與資料保護說明: 針對企業客戶關心的資料外洩問題，說明Copilot僅在企業內部資料運算，不會將機敏資料與外部網路資料混合，保障資安但限制AI學習能力，並建議用戶自行判斷資料分享範圍。
M365 Copilot授權與價格方案討論: 
授權數量、適用人員、購買方式及續約流程，並建議先針對有需求的同仁試用後再決定全公司購買策略。",,Aaron,技術支援,customer,,,,,,,,Copilot for M365,,"5,000",,
阿彼達科技-毅潔環保365需求討論,2026/3/3 上午 11:00,2026/3/3 上午 11:30,完成,"M365 導入需求與客戶背景說明: 
環保公司導入 M365 的背景、現有 IT 架構、主要需求及 ISO 認證推動過程，並強調未來類似案型將持續合作。
客戶現況與需求: 目前僅使用免費 Gmail 信箱，無 AD、無 IT 人員，因應 ISO 27001 認證需求，需導入企業級 email、身份驗證、資料存取控管等功能。
ISO 認證推動背景: 該案為與中華電信合作的 ISO 認證輔導案，未來類似中小企業案型將持續與展碁團隊合作
公司網域與命名規劃: 客戶近期有更換公司名稱與網域的規劃，目前尚未決定新 domain，建議可先以舊網域啟用，日後新網域註冊後再關聯於微軟後台，並說明微軟支援多網域管理。
未來合作展望: 未來會有更多類似 ISO 認證案型需要與展碁團隊配合。
雲端 AD、身份驗證與存取控管規劃: 
針對雲端 AD 導入、身份驗證方式、資料夾權限控管、VPN/NAS 串接等技術細節進行討論，並確認可行性與後續需諮詢設備商部分。
雲端 AD 導入考量: 因客戶無 IT 人員且地端 AD 成本高，建議採用雲端 AD
資料夾權限控管: 目前僅以 OneDrive 進行資料存取，無法細緻控管權限，建議後續可評估 SharePoint 作為公司共享資料夾。
VPN/NAS 串接與身份驗證: Ben 詢問 NAS（QNAP）是否能與雲端 AD 串接，建議需確認 NAS 是否支援與 Microsoft 365 連線，部分版本可行，需諮詢設備商。
遠端存取與安全性: Ben 闡述現有架構無專線/VPN，外點人員無法連回總公司，未來規劃導入防火牆與 VPN，若資料全放雲端則可免 VPN，否則需評估 NAS 串接能力
M365 方案功能、授權與空間規劃: 
針對 M365 各版本功能、SharePoint 空間、Intune 裝置管理、EDR/DLP 授權與服務內容。
SharePoint 與 OneDrive 空間: 商務版皆含 SharePoint，提供全公司共用 1TB 空間，若需擴充可加購。
Intune 裝置管理與軟體派送: Intune 可跨 Windows、Mac、平板等裝置進行管理與軟體派送，商務進階版或加購授權可用，第三方軟體需自行打包上傳，MSI 格式亦可。
EDR/DLP 功能與授權:  EDR（Defender）可單購或選擇進階版，DLP 分雲端與端點兩種，雲端 DLP 商務進階版含，端點 DLP 需額外加購，建議依預算分階段導入。
授權組合與報價建議: 建議可選擇商務標準版加購 Intune/Defender 或直接購買商務進階版，Ben 建議先以標準版加 Intune 為主，並請團隊提供詳細報價與服務內容。",,Aaron,技術支援,,,,,,Security,,,Security,,,,
Wianvance x Weblink M365 Copilot Event,2026/3/5 下午 01:00,2026/3/5 下午 03:00,完成,"Wianvance x Weblink M365 Copilot Event
介紹 Microsot 365 Copilot Chat ＆ 更新",,Aaron,Webinar,,,,,,AIBS,,,,,"10,000",,
正新橡膠 x 網創資訊 - Microsoft Fabric,2026/3/6 上午 11:00,2026/3/6 下午 12:00,完成,"Power BI Premium 的購買使用方式說明
目前皆需購買 Fabric 的空間，方可使用
但仍需要購買 Microsoft BI Pro 的授權方可編輯報表",,Aaron,技術支援,,,,,,AIBS,,,Power BI,,300,,
天微_天程365確認,2026/3/10 上午 09:30,2026/3/10 上午 10:00,完成,"Microsoft 365 Tenant 移轉方案討論: 
客戶的 Microsoft 365 租戶（tenant）移轉方案，針對美國與台灣租戶的網域、授權、信件資料搬移及用戶登入方式進行詳細分析，並確認移轉過程的技術細節與可能影響。
網域移除與重新掛載流程: 若要將原本的公司網域從美國租戶移除並掛到台灣租戶，需先將所有帳號的網域更換為其他網域（如 onmicrosoft.com），待移除完成後才能在新租戶新增原網域並建立相同帳號。此過程會影響信件收發，且需等待 DNS 更新。
信件與雲端資料搬移規劃: 若選擇 tenant to tenant 移轉，需規劃信件與雲端硬碟資料的搬移時程，並確認原本 365 訂閱到期日以避免重複訂閱。搬移工具會產生額外費用，需根據信箱數量估算。
用戶端裝置設定與授權清除: 移轉後用戶端（如 Outlook、手機）需清除舊帳號憑證與授權資訊，否則可能會連到舊租戶導致無法正常收發信件。網頁登入通常不會有此問題，但裝置端需特別注意。
方案選擇與用戶溝通: 若選擇保留原信箱並用 onmicrosoft.com 帳號登入新租戶，需加強用戶溝通，因為一般用戶習慣用公司信箱單一登入，切換系統時需明確指示。若選擇移除網域並重新建立帳號，則需重新套用授權並處理裝置切換。
",,Aaron,技術支援,,,,,,AIBS,,,M365,,300,,
逸凡科技-intune討論,2026/3/10 下午 05:00,2026/3/10 下午 05:30,完成,"介紹說明 Intune 針對不同系統的裝置註冊與管理功能說明
",,Aaron,技術支援,,,,,,Security,,,Security,,300,,
大同智能微軟需求會議,2026/3/11 上午 10:00,2026/3/11 上午 10:30,完成,需要取代地端 AD 的功能，建議可以使用 Intune 來取代 GPO 功能，可購買 Microsoft 365 商務進階版,,Aaron,技術支援,,,,,,Security,,,,,,,
大樹醫藥365 教育訓練內容討論,2026/3/13 下午 05:00,2026/3/13 下午 05:30,完成,大樹醫藥365 教育訓練內容討論，會介紹 Microsoft 365 admin center、Exchange admin center、Teams 管理中心、SharePoint 管理中心,,Aaron,技術支援,,,,,,AIBS,,,,,,,
2026-03-18 雲知識補給：M365 Copilot Chat 的新功能,2026/3/18 下午 02:00,2026/3/18 下午 02:30,完成,2026-03-18 雲知識補給：M365 Copilot Chat 的新功能,,Aaron,Webinar,,,,,,AIBS,,,Copilot for M365,,"6,000",,
又碩討論用戶從GWS到365移轉,2026/3/24 上午 10:00,2026/3/24 上午 10:30,完成,"Google Workspace 轉移至 Microsoft 365 的需求與規劃: 目前使用 Google Workspace（450U）並計畫依日本總部政策轉移至 Microsoft 365，討論授權採購、管理權歸屬、移轉需求及流程，並釐清各地分公司管理模式與授權採購細節
預計會由日本採購授權",,Aaron,技術支援,,,,,,,,,,,,,
台灣博迪_Power Automate Desktop 確認,2026/3/25 上午 10:00,2026/3/25 上午 10:30,完成,"說明 Power Automate 授權的差異，並介紹功能
依照使用者的需求，需要購買 Power Automate Process 並且於 Azure 啟動虛擬機",,Aaron,技術支援,,,,,,,,,,,300,,
線上研討會：超越生成式AI ！深度解析 M365 Copilot 核心優勢,2026/3/25 下午 02:00,2026/3/25 下午 03:00,完成,與大塚合作線上研討會：超越生成式AI ！深度解析 M365 Copilot 核心優勢,,Aaron,Webinar,,,,,,AIBS,,,Copilot for M365,,"6,000",,
更新 Microsoft Certified: Azure Administrator Associate 認證,2026/3/19 上午 12:00,2026/3/19 上午 12:00,完成,更新 Microsoft Certified: Azure Administrator Associate 認證,,Aaron,Certification,,,,,,,,,,,"5,000",,
更新 Microsoft Certified: Azure Solutions Architect Expert 認證,2026/3/19 上午 12:00,2026/3/19 上午 12:00,完成,更新 Microsoft Certified: Azure Solutions Architect Expert 認證,,Aaron,Certification,,,,,,,,,,,"5,000",,
更新 Microsoft Certified:Azure AI Engineer Associate 認證,2026/2/26 上午 12:00,2026/2/26 上午 12:00,完成,更新 Microsoft Certified:Azure AI Engineer Associate 認證 AI-102,,Lucas,Certification,,,,,,CAIP,,,Azure,,"10,000",,
更新 Microsoft Certified: Azure Solutions Architect Expert 認證,2026/1/21 上午 12:00,2026/1/21 上午 12:00,完成,更新 Microsoft Certified: Azure Solutions Architect Expert 認證 AZ305,,Lucas,Certification,,,,,,CAIP,,,Azure,,"20,000",,
東和鋼鐵 Azure monitor移轉前討論,2026/3/25 下午 03:00,2026/3/25 下午 04:00,完成,東和鋼鐵使用 Azure monitor做監視，目前為PYAG，要移轉到CSP，進行移轉前的資訊確認,,Lucas,技術支援,customer,,,,,CAIP,,,Azure,,"1,000",,
星詠數位遷移,2026/1/7 上午 12:00,2026/1/7 上午 12:00,完成,星詠數位遷移,,Aaron,技術支援,,,,,,,,,,,"8,000",,
悠立科技遷移,2026/2/26 上午 12:00,2026/3/7 上午 12:00,完成,悠立科技遷移,,Aaron,,,,,,,,,,,,"8,000",,
同一台電腦上安裝不同版本 Office、Project 和 Visio 測試,2026/2/24 上午 12:00,2026/3/16 上午 12:00,完成,"Office	Project / Visio / Access	相容	更正
Microsoft 365 Apps (訂閱版)	Project Plan 1、3、5 (訂閱版)	V	Project Plan 1 不包含安裝應用程式
	Project Professional 2024、2021 (CSP授權)	V	
	Project Standard 2024、2021 (CSP授權)	V	
	Project Professional 2024、2021 (零售版)	V	
	Project Standard 2024、2021 (零售版)	V	
	Visio Plan 1、2 (訂閱版)	V	Visio Plan 1 不包含安裝應用程式
	Visio LTSC Professional 2024、2021 (CSP授權)	V	
	Visio LTSC Standard 2024、2021 (CSP授權)	V	
	Visio Professional 2024、2021 (零售版)	V	
	Visio Standard 2024、2021 (零售版)	V	
	Access LTSC 2024、2021 (CSP授權)	X	本就包含 Access
Office LTSC Professional Plus 2024 (CSP授權)	Project Plan 1、3、5 (訂閱版)	V	Project Plan 1 不包含安裝應用程式
	Project Professional 2024、2021 (CSP授權)	V	Office 自訂工具網站顯示
Office 版本為 2024 Project僅支援 2024
	Project Standard 2024、2021 (CSP授權)	V	Office 自訂工具網站顯示
Office 版本為 2024 Project僅支援 2024
	Project Professional 2024、2021 (零售版)	V	
	Project Standard 2024、2021 (零售版)	V	
	Visio Plan 1、2 (訂閱版)	V	Visio Plan 1 不包含安裝應用程式
	Visio LTSC Professional 2024、2021 (CSP授權)	V	Office 自訂工具網站顯示
Office 版本為 2024 Visio 僅支援 2024
	Visio LTSC Standard 2024、2021 (CSP授權)	V	Office 自訂工具網站顯示
Office 版本為 2024 Visio 僅支援 2024
	Visio Professional 2024、2021 (零售版)	V	
	Visio Standard 2024、2021 (零售版)	V	
	Access LTSC 2024、2021 (CSP授權)	X	本就包含 Access
Office LTSC Standard 2024 (CSP授權)	Project Plan 1、3、5 (訂閱版)	V	Project Plan 1 不包含安裝應用程式
	Project Professional 2024、2021 (CSP授權)	V	Office 自訂工具網站顯示
Office 版本為 2024 Project僅支援 2024
	Project Standard 2024、2021 (CSP授權)	V	Office 自訂工具網站顯示
Office 版本為 2024 Project 僅支援 2024
	Project Professional 2024、2021 (零售版)	V	
	Project Standard 2024、2021 (零售版)	V	
	Visio Plan 1、2 (訂閱版)	V	Visio Plan 1 不包含安裝應用程式
	Visio LTSC Professional 2024、2021 (CSP授權)	V	Office 自訂工具網站顯示
Office 版本為 2024 Visio 僅支援 2024
	Visio LTSC Standard 2024、2021 (CSP授權)	V	Office 自訂工具網站顯示
Office 版本為 2024 Visio 僅支援 2024
	Visio Professional 2024、2021 (零售版)	V	
	Visio Standard 2024、2021 (零售版)	V	
	Access LTSC 2024、2021 (CSP授權)	V	Office 自訂工具網站顯示
Office 版本為 2024 Access 僅支援 2024
Office HB 2024 中小企業 (零售版)	Project Plan 1、3、5 (訂閱版)	X	Visio Plan 1 不包含安裝應用程式
	Project Professional 2024、2021 (CSP授權)	X	
	Project Standard 2024、2021 (CSP授權)	X	
	Project Professional 2024、2021 (零售版)	X	
	Project Standard 2024、2021 (零售版)	X	
	Visio Plan 1、2 (訂閱版)	X	Project Plan 1 不包含安裝應用程式
	Visio LTSC Professional 2024、2021 (CSP授權)	X	
	Visio LTSC Standard 2024、2021 (CSP授權)	X	
	Visio Professional 2024、2021 (零售版)	X	
	Visio Standard 2024、2021 (零售版)	X	
	Access LTSC 2024、2021 (CSP授權)	X	
",進行長時間測試，準備環境並依照不同的組合安裝確認是否可行,Aaron,技術支援,,,,,,,,,,,"12,000",,
